arc;yes
artifactory;no
az;no
backup;yes
build;no
cli;yes
cmd;yes
compare;no
cscope;no
data;yes
date;no
deb;yes
db;no
docker;yes
edit;no
exec;no
filter;no
find;yes
fs;yes
github;no
gitlab;no
git;yes
grep;no
history;no
howto;yes
img;yes
jira;no
k8s;no
linux;no
list;no
log;no
ls;no
lua;no
make;no
mylyn;no
net;yes
note;no
patch;no
pdf;yes
pipe;yes
project;no
publish;no
random;no
run;no
screen;no
sd;no
sec;yes
select;no
sqlet;no
svn;no
sys;yes
tf;yes
update;no
vim;yes
web;yes
